hex1_id,hex2_id,L1,L2,L3,L5,Mi1,Mi4,Mi9,C2,C3,Tm1,Tm2,Tm4,Tm9,Tm20,T1,x,y
5,4,70823,75111,129403,171861,58143.0,66652.0,105432.0,115502.0,80406.0,114265.0,72677.0,63161.0,104878.0,114836.0,60229.0,-1,9
5,5,81236,68311,128009,144489,57038.0,77031.0,101661.0,105171.0,78238.0,119365.0,66631.0,145953.0,110810.0,553523.0,46110.0,0,10
5,6,39138,35515,70763,138420,54215.0,68194.0,93175.0,112174.0,70212.0,70369.0,106838.0,87107.0,116706.0,110854.0,40839.0,1,11
5,7,37409,32853,84668,118085,55080.0,73270.0,93349.0,127552.0,71203.0,69314.0,72370.0,86302.0,120177.0,178563.0,88309.0,2,12
5,8,43089,34439,87666,132446,49506.0,64367.0,90009.0,107228.0,68912.0,61655.0,63784.0,84662.0,115775.0,122619.0,47507.0,3,13
5,9,33524,34716,105093,104161,50763.0,77176.0,107244.0,88660.0,61844.0,67550.0,69724.0,78125.0,115472.0,114453.0,45647.0,4,14
5,10,30174,27824,57929,123271,48306.0,71888.0,101341.0,98884.0,63101.0,73727.0,68108.0,102652.0,111294.0,118171.0,45339.0,5,15
5,11,29301,24815,65343,102526,50005.0,72650.0,105107.0,92160.0,67546.0,64229.0,72706.0,76464.0,115844.0,170833.0,79022.0,6,16
5,12,31702,27773,65385,116211,80262.0,67117.0,102139.0,110218.0,56321.0,58564.0,103048.0,98396.0,113139.0,124440.0,41574.0,7,17
5,13,28918,25660,66546,134910,56509.0,72757.0,121290.0,95812.0,49428.0,66182.0,69585.0,103877.0,125333.0,141199.0,81098.0,8,18
5,14,30185,22770,69743,113605,88595.0,85601.0,127359.0,92397.0,52842.0,73993.0,61552.0,86218.0,125101.0,145967.0,39219.0,9,19
5,15,28673,25645,40008,144540,103613.0,120280.0,116913.0,106103.0,72733.0,59945.0,95709.0,129388.0,132972.0,141901.0,34255.0,10,20
5,15,28673,25645,40008,144540,103613.0,120280.0,116913.0,106103.0,72733.0,59945.0,95709.0,129388.0,122147.0,141901.0,34255.0,10,20
5,16,34108,25748,71301,128588,63932.0,82247.0,116645.0,79592.0,57500.0,70499.0,70918.0,101264.0,117640.0,136019.0,41982.0,11,21
5,17,36442,30969,71645,129123,59492.0,87747.0,130798.0,90284.0,83080.0,78300.0,76480.0,91408.0,125569.0,217562.0,73203.0,12,22
5,18,35355,30628,49638,160931,69995.0,107768.0,77259.0,127637.0,87986.0,73597.0,75886.0,99494.0,132620.0,141600.0,45912.0,13,23
5,19,218454,39242,123203,180274,70224.0,61872.0,147694.0,146117.0,64963.0,73468.0,82533.0,100576.0,133120.0,,122644.0,14,24
5,20,33890,30374,548341,154969,74385.0,88439.0,148292.0,,80095.0,69097.0,86414.0,105358.0,136816.0,143424.0,45675.0,15,25
5,20,33890,30374,548341,154969,74385.0,88439.0,148292.0,,80095.0,69097.0,86414.0,92126.0,136816.0,143424.0,45675.0,15,25
6,1,123857,142992,169019,221549,95818.0,114877.0,128416.0,557516.0,92898.0,101180.0,,99278.0,127653.0,,545401.0,-5,7
6,2,91376,160837,140592,169649,61073.0,100771.0,116326.0,133289.0,99344.0,92978.0,94246.0,93894.0,124216.0,122172.0,160965.0,-4,8
6,3,66513,82058,130391,164118,54298.0,75238.0,93629.0,123921.0,83698.0,72999.0,77713.0,85193.0,,114619.0,65233.0,-3,9
6,4,68916,35097,139132,153650,49521.0,70580.0,91068.0,107462.0,79828.0,61472.0,46275.0,86687.0,107716.0,112043.0,44429.0,-2,10
6,5,56186,38310,122442,149231,48346.0,64557.0,97037.0,146344.0,45437.0,65425.0,61003.0,93066.0,113692.0,106076.0,47165.0,-1,11
6,6,40132,33433,78737,120173,47649.0,67895.0,94412.0,115933.0,77386.0,61042.0,69168.0,79302.0,110967.0,123995.0,39862.0,0,12
6,7,35178,32945,80267,127289,50100.0,60470.0,101404.0,124486.0,66867.0,58240.0,62285.0,84130.0,103510.0,117149.0,39161.0,1,13
6,8,39881,37394,75117,141009,46564.0,59081.0,101300.0,105186.0,67339.0,59643.0,67148.0,116321.0,120385.0,121096.0,41249.0,2,14
6,9,40108,27688,62066,128463,44150.0,63186.0,138015.0,92306.0,64962.0,54865.0,60339.0,79923.0,111323.0,100650.0,39978.0,3,15
6,9,40108,27688,62066,128463,44150.0,63186.0,138465.0,92306.0,64962.0,54865.0,60339.0,79923.0,111323.0,100650.0,39978.0,3,15
6,10,28713,27351,59096,126114,44881.0,65254.0,103079.0,96869.0,55898.0,60988.0,546945.0,78704.0,103313.0,110997.0,42935.0,4,16
6,11,31271,25779,61830,100114,51497.0,62267.0,84922.0,90769.0,48573.0,55716.0,59642.0,91873.0,100442.0,107706.0,51833.0,5,17
6,12,31485,28477,80475,102378,55213.0,65505.0,89571.0,157530.0,57621.0,60617.0,60537.0,86309.0,115769.0,118499.0,39940.0,6,18
6,13,31133,26742,75887,119396,49542.0,63505.0,84429.0,91143.0,54135.0,58986.0,65591.0,86890.0,101013.0,124889.0,45395.0,7,19
6,14,40561,25442,60709,117127,47404.0,117119.0,98261.0,96299.0,58261.0,59094.0,59116.0,54452.0,116950.0,121058.0,74236.0,8,20
6,15,29606,25214,116658,130396,79061.0,74340.0,68577.0,133111.0,55503.0,63205.0,70996.0,78139.0,128219.0,131275.0,45583.0,9,21
6,16,29312,73965,62618,147854,59167.0,76780.0,95354.0,88493.0,542975.0,65349.0,66906.0,99110.0,116542.0,143632.0,40433.0,10,22
6,17,28859,24353,42442,128191,53596.0,87938.0,103889.0,90254.0,73951.0,104583.0,99555.0,,110245.0,127491.0,49995.0,11,23
6,18,29456,25950,44558,113126,51473.0,81973.0,115846.0,85369.0,73473.0,71780.0,66535.0,91453.0,120858.0,122039.0,70253.0,12,24
6,19,30476,19527,64652,179969,543809.0,87966.0,119964.0,110370.0,58297.0,73671.0,547237.0,90377.0,120171.0,149764.0,547254.0,13,25
6,20,29943,20221,114970,121714,54156.0,74370.0,97133.0,114605.0,86238.0,58418.0,68205.0,104708.0,124542.0,153395.0,40071.0,14,26
6,21,45179,59687,50513,161948,72886.0,106381.0,137393.0,137040.0,89531.0,86986.0,95803.0,94875.0,134912.0,,,15,27
6,22,72489,39559,163617,175727,81554.0,127459.0,171897.0,86459.0,77663.0,98691.0,105213.0,99712.0,138224.0,130491.0,46226.0,16,28
7,1,95979,120667,157650,224041,90320.0,120963.0,138584.0,157995.0,103615.0,113195.0,118175.0,95128.0,184925.0,134431.0,91256.0,-6,8
7,2,68679,91871,126153,170901,58302.0,91486.0,116758.0,147746.0,99557.0,97246.0,93954.0,,,113200.0,64393.0,-5,9
7,3,53857,68733,123497,145684,50516.0,554353.0,87931.0,115439.0,83630.0,65861.0,68985.0,91637.0,109739.0,108236.0,92428.0,-4,10
7,4,60001,63860,123999,136014,50703.0,60307.0,77728.0,104997.0,71320.0,65436.0,65276.0,91897.0,102345.0,117593.0,50519.0,-3,11
7,4,60001,63860,123999,136014,50703.0,60307.0,77728.0,104997.0,71320.0,65436.0,65276.0,91897.0,102345.0,140768.0,50519.0,-3,11
7,5,56002,59895,136297,124993,45964.0,66725.0,74395.0,107553.0,70925.0,58383.0,59900.0,85655.0,109845.0,116029.0,56120.0,-2,12
7,6,37287,37504,78627,114549,46274.0,63741.0,89639.0,103665.0,58823.0,60018.0,63056.0,86723.0,579914.0,103854.0,39215.0,-1,13
7,7,40068,35110,86665,111511,46550.0,61614.0,92334.0,109082.0,68120.0,56230.0,62820.0,79091.0,113842.0,117468.0,39171.0,0,14
7,8,36174,31727,85809,100028,76550.0,60304.0,81368.0,89370.0,47252.0,57197.0,55531.0,78795.0,104772.0,101492.0,126643.0,1,15
7,9,33387,27128,67075,134903,43972.0,60002.0,84653.0,102606.0,58324.0,55406.0,60195.0,80820.0,104227.0,99082.0,39241.0,2,16
7,10,29571,27433,58954,119688,40913.0,63438.0,74029.0,87215.0,51926.0,57465.0,58022.0,81902.0,98633.0,105586.0,99351.0,3,17
7,11,27288,25930,54680,108838,40417.0,79202.0,85692.0,103796.0,58008.0,53031.0,54509.0,72174.0,97610.0,103336.0,45960.0,4,18
7,12,30149,27196,69919,127607,48798.0,65086.0,74419.0,101145.0,64572.0,51259.0,56211.0,76346.0,96265.0,115735.0,71848.0,5,19
7,13,29162,25816,69094,107973,46976.0,68258.0,89886.0,90951.0,60706.0,58926.0,53662.0,77391.0,98965.0,124048.0,37501.0,6,20
7,14,32043,28057,72596,115638,47135.0,80915.0,116830.0,84519.0,56345.0,57918.0,59189.0,84133.0,109266.0,166734.0,40963.0,7,21
7,15,28238,27030,71538,104888,48785.0,69104.0,102180.0,77965.0,61181.0,64373.0,68731.0,133855.0,171941.0,134026.0,39626.0,8,22
7,16,28908,27447,65008,141082,84458.0,73192.0,100470.0,90489.0,77511.0,59377.0,68018.0,82481.0,108811.0,122609.0,42879.0,9,23
7,17,28883,23078,54151,122976,48616.0,75107.0,100958.0,100391.0,70135.0,59553.0,68447.0,85316.0,106496.0,128789.0,39925.0,10,24
7,18,29338,23306,61992,121758,50589.0,83179.0,108893.0,98591.0,73467.0,60184.0,63664.0,81428.0,120148.0,180312.0,40251.0,11,25
7,19,29980,25408,101293,112303,51211.0,76939.0,116072.0,84481.0,68026.0,58764.0,58827.0,80112.0,105850.0,131704.0,42098.0,12,26
7,20,37115,19516,98704,115372,49342.0,87833.0,111194.0,96646.0,64084.0,58521.0,58404.0,91534.0,118857.0,133594.0,47545.0,13,27
7,21,55549,67688,156115,135827,74738.0,81965.0,111779.0,89649.0,67306.0,60376.0,59976.0,94093.0,115966.0,133203.0,44523.0,14,28
7,22,53531,38412,69412,140634,55138.0,85425.0,118799.0,108423.0,54777.0,65251.0,61132.0,90006.0,116685.0,140487.0,21845.0,15,29
7,23,20988,29519,81069,150568,67229.0,108960.0,140114.0,97218.0,79594.0,68492.0,79298.0,91119.0,137355.0,150345.0,44178.0,16,30
7,24,39218,28115,83728,89822,66991.0,116983.0,143466.0,80910.0,74381.0,104317.0,128174.0,114036.0,134193.0,149805.0,51178.0,17,31
8,1,115681,124450,151185,225164,81949.0,106713.0,166526.0,,114174.0,104352.0,,,158207.0,144211.0,91523.0,-7,9
8,2,66761,78714,128232,158796,55778.0,80575.0,98041.0,115436.0,82304.0,55074.0,85413.0,90482.0,111906.0,111672.0,66326.0,-6,10
8,3,58591,63316,119142,129465,49259.0,60527.0,96985.0,103597.0,74782.0,62793.0,85090.0,134324.0,116746.0,109719.0,41964.0,-5,11
8,4,55758,54508,43022,133718,47322.0,75119.0,84003.0,106487.0,88365.0,107429.0,56753.0,82694.0,112576.0,105656.0,32744.0,-4,12
